alg,op,n,ns
Ed25519,verify_chain,10,374932
Ed25519,verify_chain,10,376562
Ed25519,verify_chain,10,373605
Ed25519,verify_chain,10,383076
Ed25519,verify_chain,10,376426
Ed25519,verify_chain,10,382649
Ed25519,verify_chain,10,375187
Ed25519,verify_chain,10,380834
Ed25519,verify_chain,10,384975
Ed25519,verify_chain,10,377316
Ed25519,verify_chain,10,373818
Ed25519,verify_chain,10,372549
Ed25519,verify_chain,10,372848
Ed25519,verify_chain,10,384435
Ed25519,verify_chain,10,374901
Ed25519,verify_chain,10,374709
Ed25519,verify_chain,10,382340
Ed25519,verify_chain,10,374708
Ed25519,verify_chain,10,389708
Ed25519,verify_chain,10,376687
Ed25519,verify_chain,10,373490
Ed25519,verify_chain,10,376763
Ed25519,verify_chain,10,388344
Ed25519,verify_chain,10,396687
Ed25519,verify_chain,10,387476
Ed25519,verify_chain,10,375004
Ed25519,verify_chain,10,389431
Ed25519,verify_chain,10,397121
Ed25519,verify_chain,10,395891
Ed25519,verify_chain,10,389529
Ed25519,verify_chain,10,383318
Ed25519,verify_chain,10,786763
Ed25519,verify_chain,10,491798
Ed25519,verify_chain,10,438878
Ed25519,verify_chain,10,484506
Ed25519,verify_chain,10,490858
Ed25519,verify_chain,10,399624
Ed25519,verify_chain,10,417032
Ed25519,verify_chain,10,407742
Ed25519,verify_chain,10,447202
Ed25519,verify_chain,10,400395
Ed25519,verify_chain,10,409213
Ed25519,verify_chain,10,399999
Ed25519,verify_chain,10,409153
Ed25519,verify_chain,10,390451
Ed25519,verify_chain,10,406967
Ed25519,authority_build,2,23775
Ed25519,authority_build,2,23542
Ed25519,authority_build,2,23491
Ed25519,authority_build,2,23542
Ed25519,authority_build,2,23512
Ed25519,authority_build,2,23613
Ed25519,authority_build,2,23774
Ed25519,authority_build,2,24143
Ed25519,authority_build,2,23660
Ed25519,authority_build,2,23642
Ed25519,authority_build,2,23556
Ed25519,authority_build,2,23681
Ed25519,authority_build,2,23603
Ed25519,authority_build,2,23584
Ed25519,authority_build,2,23558
Ed25519,authority_build,2,23515
Ed25519,authority_build,2,23643
Ed25519,authority_build,2,23502
Ed25519,authority_build,2,23654
Ed25519,authority_build,2,23501
Ed25519,authority_build,2,23556
Ed25519,authority_build,2,24093
Ed25519,authority_build,2,33147
Ed25519,authority_build,2,27390
Ed25519,authority_build,2,25002
Ed25519,authority_build,2,23983
Ed25519,authority_build,2,24049
Ed25519,authority_build,2,23937
Ed25519,authority_build,2,23659
Ed25519,authority_build,2,23580
Ed25519,authority_build,2,23631
Ed25519,authority_build,2,23554
Ed25519,authority_build,2,23578
Ed25519,authority_build,2,24114
Ed25519,authority_build,2,33256
Ed25519,authority_build,2,26904
Ed25519,authority_build,2,25131
Ed25519,authority_build,2,24565
Ed25519,authority_build,2,24706
Ed25519,authority_build,2,24803
Ed25519,authority_build,2,24287
Ed25519,authority_build,2,23216
Ed25519,authority_build,2,23337
Ed25519,authority_build,2,23743
Ed25519,authority_build,2,23560
Ed25519,authority_build,2,23638
Ed25519,authority_build,2,23514
Ed25519,authority_build,2,23650
Ed25519,authority_build,2,23642
Ed25519,authority_build,2,23736
Ed25519,authority_build,2,23806
Ed25519,authority_build,2,23624
Ed25519,authority_build,2,23641
Ed25519,authority_build,2,23655
Ed25519,authority_build,2,23948
Ed25519,authority_build,2,23602
Ed25519,authority_build,2,23523
Ed25519,authority_build,2,23710
Ed25519,authority_build,2,23762
Ed25519,authority_build,2,23512
Ed25519,authority_build,2,23589
Ed25519,authority_build,2,23420
Ed25519,authority_build,2,23693
Ed25519,authority_build,2,23821
Ed25519,authority_build,2,23523
Ed25519,authority_build,2,23691
Ed25519,authority_build,2,23661
Ed25519,authority_build,2,23740
Ed25519,authority_build,2,23496
Ed25519,authority_build,2,23657
Ed25519,authority_build,2,23608
Ed25519,authority_build,2,23749
Ed25519,authority_build,2,23776
Ed25519,authority_build,2,23710
Ed25519,authority_build,2,23878
Ed25519,authority_build,2,24285
Ed25519,authority_build,2,23545
Ed25519,authority_build,2,23651
Ed25519,authority_build,2,23694
Ed25519,authority_build,2,23896
Ed25519,authority_build,2,23647
Ed25519,authority_build,2,23854
Ed25519,authority_build,2,23733
Ed25519,authority_build,2,23677
Ed25519,authority_build,2,23995
Ed25519,authority_build,2,23630
Ed25519,authority_build,2,23481
Ed25519,authority_build,2,23588
Ed25519,authority_build,2,23529
Ed25519,authority_build,2,23393
Ed25519,authority_build,2,23591
Ed25519,authority_build,2,23668
Ed25519,authority_build,2,23532
Ed25519,authority_build,2,23823
Ed25519,authority_build,2,23406
Ed25519,authority_build,2,23759
Ed25519,authority_build,2,23651
Ed25519,authority_build,2,23801
Ed25519,authority_build,2,23714
Ed25519,authority_build,2,35996
Ed25519,authority_build,2,27143
Ed25519,append_hop,2,55136
Ed25519,append_hop,2,37164
Ed25519,append_hop,2,35113
Ed25519,append_hop,2,35143
Ed25519,append_hop,2,35167
Ed25519,append_hop,2,35153
Ed25519,append_hop,2,34953
Ed25519,append_hop,2,34918
Ed25519,append_hop,2,35906
Ed25519,append_hop,2,35531
Ed25519,append_hop,2,35017
Ed25519,append_hop,2,35213
Ed25519,append_hop,2,35032
Ed25519,append_hop,2,35065
Ed25519,append_hop,2,42485
Ed25519,append_hop,2,38453
Ed25519,append_hop,2,35084
Ed25519,append_hop,2,35018
Ed25519,append_hop,2,35043
Ed25519,append_hop,2,34878
Ed25519,append_hop,2,34949
Ed25519,append_hop,2,34870
Ed25519,append_hop,2,40070
Ed25519,append_hop,2,42408
Ed25519,append_hop,2,34853
Ed25519,append_hop,2,45680
Ed25519,append_hop,2,38690
Ed25519,append_hop,2,35835
Ed25519,append_hop,2,36920
Ed25519,append_hop,2,35449
Ed25519,append_hop,2,34718
Ed25519,append_hop,2,35058
