alg,op,n,ns
Ed25519,authority_build,2,23064
Ed25519,authority_build,2,23001
Ed25519,authority_build,2,23069
Ed25519,authority_build,2,22898
Ed25519,authority_build,2,22944
Ed25519,authority_build,2,23191
Ed25519,authority_build,2,23206
Ed25519,authority_build,2,22978
Ed25519,authority_build,2,23096
Ed25519,authority_build,2,24183
Ed25519,authority_build,2,24098
Ed25519,authority_build,2,24306
Ed25519,authority_build,2,23997
Ed25519,authority_build,2,24049
Ed25519,authority_build,2,24379
Ed25519,authority_build,2,24118
Ed25519,authority_build,2,24133
Ed25519,authority_build,2,24277
Ed25519,authority_build,2,24498
Ed25519,authority_build,2,24052
Ed25519,authority_build,2,24174
Ed25519,authority_build,2,24207
Ed25519,authority_build,2,24181
Ed25519,authority_build,2,24111
Ed25519,authority_build,2,23914
Ed25519,authority_build,2,23963
Ed25519,authority_build,2,24123
Ed25519,authority_build,2,24232
Ed25519,authority_build,2,24233
Ed25519,authority_build,2,24136
Ed25519,authority_build,2,24139
Ed25519,authority_build,2,24132
Ed25519,authority_build,2,24147
Ed25519,authority_build,2,24098
Ed25519,authority_build,2,24122
Ed25519,authority_build,2,24080
Ed25519,authority_build,2,24340
Ed25519,authority_build,2,24303
Ed25519,authority_build,2,24007
Ed25519,authority_build,2,24165
Ed25519,authority_build,2,29223
Ed25519,authority_build,2,27079
Ed25519,authority_build,2,32952
Ed25519,authority_build,2,26132
Ed25519,authority_build,2,24416
Ed25519,authority_build,2,24267
Ed25519,authority_build,2,24314
Ed25519,authority_build,2,24363
Ed25519,authority_build,2,24278
Ed25519,authority_build,2,24314
Ed25519,authority_build,2,24269
Ed25519,authority_build,2,24003
Ed25519,authority_build,2,24083
Ed25519,authority_build,2,24093
Ed25519,authority_build,2,24183
Ed25519,authority_build,2,24162
Ed25519,authority_build,2,24067
Ed25519,authority_build,2,23937
Ed25519,authority_build,2,24034
Ed25519,authority_build,2,23985
Ed25519,authority_build,2,24001
Ed25519,authority_build,2,24042
Ed25519,authority_build,2,24156
Ed25519,authority_build,2,23975
Ed25519,authority_build,2,24162
Ed25519,authority_build,2,27698
Ed25519,authority_build,2,24677
Ed25519,authority_build,2,24156
Ed25519,authority_build,2,24022
Ed25519,authority_build,2,30513
Ed25519,authority_build,2,24902
Ed25519,authority_build,2,24214
Ed25519,authority_build,2,24108
Ed25519,authority_build,2,24003
Ed25519,authority_build,2,24122
Ed25519,authority_build,2,24113
Ed25519,authority_build,2,24131
Ed25519,authority_build,2,24072
Ed25519,authority_build,2,24121
Ed25519,authority_build,2,24078
Ed25519,authority_build,2,24165
Ed25519,authority_build,2,24022
Ed25519,authority_build,2,24374
Ed25519,authority_build,2,24102
Ed25519,authority_build,2,23957
Ed25519,authority_build,2,24255
Ed25519,authority_build,2,24009
Ed25519,authority_build,2,24192
Ed25519,authority_build,2,24197
Ed25519,authority_build,2,23962
Ed25519,authority_build,2,23958
Ed25519,authority_build,2,24170
Ed25519,authority_build,2,29128
Ed25519,authority_build,2,23922
Ed25519,authority_build,2,24102
Ed25519,authority_build,2,23924
Ed25519,authority_build,2,23932
Ed25519,authority_build,2,24157
Ed25519,authority_build,2,24008
Ed25519,append_hop,2,35948
Ed25519,append_hop,2,35876
Ed25519,append_hop,2,35416
Ed25519,append_hop,2,35478
Ed25519,append_hop,2,35266
Ed25519,append_hop,2,35528
Ed25519,append_hop,2,35608
Ed25519,append_hop,2,35572
Ed25519,append_hop,2,35188
Ed25519,append_hop,2,35362
Ed25519,append_hop,2,35503
Ed25519,append_hop,2,35833
Ed25519,append_hop,2,35459
Ed25519,append_hop,2,35421
Ed25519,append_hop,2,35624
Ed25519,append_hop,2,35438
Ed25519,append_hop,2,35230
Ed25519,append_hop,2,35353
Ed25519,append_hop,2,35310
Ed25519,append_hop,2,35380
Ed25519,append_hop,2,35484
Ed25519,append_hop,2,35311
Ed25519,append_hop,2,35550
Ed25519,append_hop,2,35373
Ed25519,append_hop,2,35473
Ed25519,append_hop,2,35464
Ed25519,append_hop,2,35355
Ed25519,append_hop,2,35210
Ed25519,append_hop,2,35579
Ed25519,append_hop,2,35450
