alg,phase,rep,ns
Mldsa44,keygen,10,16890
Mldsa44,keygen,11,17033
Mldsa44,keygen,12,16979
Mldsa44,keygen,13,16860
Mldsa44,keygen,14,16984
Mldsa44,keygen,15,16901
Mldsa44,keygen,16,18001
Mldsa44,keygen,17,16593
Mldsa44,keygen,18,39604
Mldsa44,keygen,19,17663
Mldsa44,keygen,20,16954
Mldsa44,keygen,21,43068
Mldsa44,keygen,22,28123
Mldsa44,keygen,23,23379
Mldsa44,keygen,24,23933
Mldsa44,keygen,25,23751
Mldsa44,keygen,26,20890
Mldsa44,keygen,27,16951
Mldsa44,keygen,28,17939
Mldsa44,keygen,29,16528
Mldsa44,keygen,30,16498
Mldsa44,keygen,31,16446
Mldsa44,keygen,32,16628
Mldsa44,keygen,33,16473
Mldsa44,keygen,34,16506
Mldsa44,keygen,35,16067
Mldsa44,keygen,36,16544
Mldsa44,keygen,37,16628
Mldsa44,keygen,38,16617
Mldsa44,keygen,39,16495
Mldsa44,keygen,40,16474
Mldsa44,keygen,41,16609
Mldsa44,keygen,42,16672
Mldsa44,keygen,43,16691
Mldsa44,keygen,44,16430
Mldsa44,keygen,45,16595
Mldsa44,keygen,46,16710
Mldsa44,keygen,47,16454
Mldsa44,keygen,48,16632
Mldsa44,keygen,49,16582
Mldsa44,keygen,50,16616
Mldsa44,keygen,51,16545
Mldsa44,keygen,52,16560
Mldsa44,keygen,53,16589
Mldsa44,keygen,54,16096
Mldsa44,keygen,55,16589
Mldsa44,keygen,56,16788
Mldsa44,keygen,57,16748
Mldsa44,keygen,58,16319
Mldsa44,keygen,59,16725
Mldsa44,keygen,60,16961
Mldsa44,keygen,61,17024
Mldsa44,keygen,62,16980
Mldsa44,keygen,63,17056
Mldsa44,keygen,64,16831
Mldsa44,keygen,65,17982
Mldsa44,keygen,66,16783
Mldsa44,keygen,67,16720
Mldsa44,keygen,68,16088
Mldsa44,keygen,69,16518
Mldsa44,keygen,70,16510
Mldsa44,keygen,71,16581
Mldsa44,keygen,72,16588
Mldsa44,keygen,73,16650
Mldsa44,keygen,74,16468
Mldsa44,keygen,75,16234
Mldsa44,keygen,76,16594
Mldsa44,keygen,77,16557
Mldsa44,keygen,78,16550
Mldsa44,keygen,79,16460
Mldsa44,keygen,80,16451
Mldsa44,keygen,81,16483
Mldsa44,keygen,82,16551
Mldsa44,keygen,83,16225
Mldsa44,keygen,84,16077
Mldsa44,keygen,85,16438
Mldsa44,keygen,86,16586
Mldsa44,keygen,87,16624
Mldsa44,keygen,88,16540
Mldsa44,keygen,89,16741
Mldsa44,keygen,90,16639
Mldsa44,keygen,91,16562
Mldsa44,keygen,92,16451
Mldsa44,keygen,93,16449
Mldsa44,keygen,94,16445
Mldsa44,keygen,95,16149
Mldsa44,keygen,96,16472
Mldsa44,keygen,97,16461
Mldsa44,keygen,98,16112
Mldsa44,keygen,99,16664
Mldsa44,keygen,100,16639
Mldsa44,append_realtime,0,103054
Mldsa44,append_realtime,1,60827
Mldsa44,append_realtime,2,71384
Mldsa44,append_realtime,3,85300
Mldsa44,append_realtime,4,53126
Mldsa44,append_realtime,5,53478
Mldsa44,append_realtime,6,82017
Mldsa44,append_realtime,7,75700
Mldsa44,append_realtime,8,70766
Mldsa44,append_realtime,9,93593
Mldsa44,append_realtime,10,55263
Mldsa44,append_realtime,11,61139
Mldsa44,append_realtime,12,81470
Mldsa44,append_realtime,13,77007
Mldsa44,append_realtime,14,57510
Mldsa44,append_realtime,15,98912
Mldsa44,append_realtime,16,61434
Mldsa44,append_realtime,17,83662
Mldsa44,append_realtime,18,77493
Mldsa44,append_realtime,19,123978
Mldsa44,append_realtime,20,54724
Mldsa44,append_realtime,21,76998
Mldsa44,append_realtime,22,74712
Mldsa44,append_realtime,23,69381
Mldsa44,append_realtime,24,72004
Mldsa44,append_realtime,25,97671
Mldsa44,append_realtime,26,97187
Mldsa44,append_realtime,27,172094
Mldsa44,append_realtime,28,102021
Mldsa44,append_realtime,29,54455
Mldsa44,append_realtime,30,119186
Mldsa44,append_realtime,31,111385
Mldsa44,append_realtime,32,58442
Mldsa44,append_realtime,33,54386
Mldsa44,append_realtime,34,62033
Mldsa44,append_realtime,35,61407
Mldsa44,append_realtime,36,94296
Mldsa44,append_realtime,37,54265
Mldsa44,append_realtime,38,92628
Mldsa44,append_realtime,39,71010
Mldsa44,append_realtime,40,93667
Mldsa44,append_realtime,41,56088
Mldsa44,append_realtime,42,64190
Mldsa44,append_realtime,43,114561
Mldsa44,append_realtime,44,70530
Mldsa44,append_realtime,45,71747
Mldsa44,append_realtime,46,78790
Mldsa44,append_realtime,47,120168
Mldsa44,append_realtime,48,64711
Mldsa44,append_realtime,49,74138
Mldsa44,append_realtime,50,65267
Mldsa44,append_realtime,51,54084
Mldsa44,append_realtime,52,62067
Mldsa44,append_realtime,53,79663
Mldsa44,append_realtime,54,56203
Mldsa44,append_realtime,55,168651
Mldsa44,append_realtime,56,69024
Mldsa44,append_realtime,57,146049
Mldsa44,append_realtime,58,87166
Mldsa44,append_realtime,59,87202
Mldsa44,append_realtime,60,56772
Mldsa44,append_realtime,61,116658
Mldsa44,append_realtime,62,57788
Mldsa44,append_realtime,63,79457
Mldsa44,append_realtime,64,78898
Mldsa44,append_realtime,65,55144
Mldsa44,append_realtime,66,77376
Mldsa44,append_realtime,67,53004
Mldsa44,append_realtime,68,91203
Mldsa44,append_realtime,69,95386
Mldsa44,append_realtime,70,61170
Mldsa44,append_realtime,71,53824
Mldsa44,append_realtime,72,74936
Mldsa44,append_realtime,73,98016
Mldsa44,append_realtime,74,100140
Mldsa44,append_realtime,75,91381
Mldsa44,append_realtime,76,87690
Mldsa44,append_realtime,77,54070
Mldsa44,append_realtime,78,70237
Mldsa44,append_realtime,79,94953
Mldsa44,append_realtime,80,98826
Mldsa44,append_realtime,81,68173
Mldsa44,append_realtime,82,78548
Mldsa44,append_realtime,83,161232
Mldsa44,append_realtime,84,69360
Mldsa44,append_realtime,85,105135
Mldsa44,append_realtime,86,127481
Mldsa44,append_realtime,87,60256
Mldsa44,append_realtime,88,60297
Mldsa44,append_realtime,89,65420
Mldsa44,append_realtime,90,62295
Mldsa44,append_realtime,91,76478
Mldsa44,append_realtime,92,62677
Mldsa44,append_realtime,93,56226
Mldsa44,append_realtime,94,80488
Mldsa44,append_realtime,95,83740
Mldsa44,append_realtime,96,90982
Mldsa44,append_realtime,97,59521
Mldsa44,append_realtime,98,104828
Mldsa44,append_realtime,99,109627
Mldsa44,append_realtime,100,59543
Mldsa44,append_sign,0,35833
Mldsa44,append_sign,1,36850
Mldsa44,append_sign,2,53085
Mldsa44,append_sign,3,44136
Mldsa44,append_sign,4,54519
Mldsa44,append_sign,5,53145
Mldsa44,append_sign,6,61423
Mldsa44,append_sign,7,70106
Mldsa44,append_sign,8,45470
Mldsa44,append_sign,9,70278
Mldsa44,append_sign,10,45469
Mldsa44,append_sign,11,110994
Mldsa44,append_sign,12,58938
Mldsa44,append_sign,13,58808
Mldsa44,append_sign,14,87878
Mldsa44,append_sign,15,74608
Mldsa44,append_sign,16,51679
Mldsa44,append_sign,17,145314
Mldsa44,append_sign,18,53408
Mldsa44,append_sign,19,56041
Mldsa44,append_sign,20,44637
Mldsa44,append_sign,21,44359
Mldsa44,append_sign,22,61126
Mldsa44,append_sign,23,53939
Mldsa44,append_sign,24,67415
Mldsa44,append_sign,25,45288
Mldsa44,append_sign,26,66792
Mldsa44,append_sign,27,52099
Mldsa44,append_sign,28,61910
Mldsa44,append_sign,29,53504
Mldsa44,append_sign,30,81238
Mldsa44,append_sign,31,51139
Mldsa44,append_sign,32,52610
Mldsa44,append_sign,33,53814
Mldsa44,append_sign,34,65708
Mldsa44,append_sign,35,54756
Mldsa44,append_sign,36,36674
Mldsa44,append_sign,37,80002
Mldsa44,append_sign,38,36380
Mldsa44,append_sign,39,45361
Mldsa44,append_sign,40,156232
Mldsa44,append_sign,41,118427
Mldsa44,append_sign,42,85437
Mldsa44,append_sign,43,62283
Mldsa44,append_sign,44,37434
Mldsa44,append_sign,45,44039
Mldsa44,append_sign,46,50639
Mldsa44,append_sign,47,68351
Mldsa44,append_sign,48,54536
Mldsa44,append_sign,49,52885
Mldsa44,append_sign,50,44036
Mldsa44,append_sign,51,36052
Mldsa44,append_sign,52,51427
Mldsa44,append_sign,53,67709
Mldsa44,append_sign,54,45195
Mldsa44,append_sign,55,73199
Mldsa44,append_sign,56,52847
Mldsa44,append_sign,57,53857
Mldsa44,append_sign,58,67919
Mldsa44,append_sign,59,162128
Mldsa44,append_sign,60,126818
Mldsa44,append_sign,61,101159
Mldsa44,append_sign,62,217252
Mldsa44,append_sign,63,121662
Mldsa44,append_sign,64,315670
Mldsa44,append_sign,65,158669
Mldsa44,append_sign,66,199474
Mldsa44,append_sign,67,178874
Mldsa44,append_sign,68,121954
Mldsa44,append_sign,69,78426
Mldsa44,append_sign,70,243199
Mldsa44,append_sign,71,62487
Mldsa44,append_sign,72,148834
Mldsa44,append_sign,73,129238
Mldsa44,append_sign,74,54291
Mldsa44,append_sign,75,44129
Mldsa44,append_sign,76,36299
Mldsa44,append_sign,77,52653
Mldsa44,append_sign,78,62444
Mldsa44,append_sign,79,38124
Mldsa44,append_sign,80,36915
Mldsa44,append_sign,81,167219
Mldsa44,append_sign,82,110348
Mldsa44,append_sign,83,117448
Mldsa44,append_sign,84,64350
Mldsa44,append_sign,85,71753
Mldsa44,append_sign,86,52190
Mldsa44,append_sign,87,43814
Mldsa44,append_sign,88,55779
Mldsa44,append_sign,89,69738
Mldsa44,append_sign,90,88188
Mldsa44,append_sign,91,36657
Mldsa44,append_sign,92,51730
Mldsa44,append_sign,93,37309
Mldsa44,append_sign,94,52263
Mldsa44,append_sign,95,55281
Mldsa44,append_sign,96,46344
Mldsa44,append_sign,97,131749
Mldsa44,append_sign,98,54822
Mldsa44,append_sign,99,62000
Mldsa44,append_sign,100,120201
Mldsa65,keygen,0,28195
Mldsa65,keygen,1,27938
Mldsa65,keygen,2,28155
Mldsa65,keygen,3,28308
Mldsa65,keygen,4,28247
Mldsa65,keygen,5,28371
Mldsa65,keygen,6,34525
Mldsa65,keygen,7,28096
Mldsa65,keygen,8,28264
Mldsa65,keygen,9,28130
Mldsa65,keygen,10,28231
Mldsa65,keygen,11,28149
Mldsa65,keygen,12,28020
Mldsa65,keygen,13,28563
Mldsa65,keygen,14,28328
Mldsa65,keygen,15,28066
Mldsa65,keygen,16,28341
Mldsa65,keygen,17,28094
Mldsa65,keygen,18,27893
Mldsa65,keygen,19,28041
Mldsa65,keygen,20,28263
Mldsa65,keygen,21,28273
Mldsa65,keygen,22,27974
Mldsa65,keygen,23,28014
Mldsa65,keygen,24,28420
Mldsa65,keygen,25,28100
Mldsa65,keygen,26,28102
Mldsa65,keygen,27,29243
Mldsa65,keygen,28,28111
Mldsa65,keygen,29,28057
Mldsa65,keygen,30,27991
Mldsa65,keygen,31,28163
Mldsa65,keygen,32,28311
Mldsa65,keygen,33,28359
Mldsa65,keygen,34,28218
Mldsa65,keygen,35,28155
Mldsa65,keygen,36,28066
Mldsa65,keygen,37,28195
Mldsa65,keygen,38,28180
Mldsa65,keygen,39,28321
Mldsa65,keygen,40,28092
Mldsa65,keygen,41,28293
Mldsa65,keygen,42,28440
Mldsa65,keygen,43,27930
Mldsa65,keygen,44,28338
Mldsa65,keygen,45,28288
Mldsa65,keygen,46,28288
Mldsa65,keygen,47,28343
Mldsa65,keygen,48,28076
Mldsa65,keygen,49,28001
Mldsa65,keygen,50,28131
Mldsa65,keygen,51,28024
Mldsa65,keygen,52,28266
Mldsa65,keygen,53,28319
Mldsa65,keygen,54,28267
