profile,n,mode,loss_pct,samples,fail,fail_rate,p50_us,p95_us,p99_us,tail_ratio,p50_amp,p99_amp
mix-mldsa87-fndsa512,20,ka,1,1000,0,0.0,65081.6735,107914.06414999999,176018.16164999985,2.704573379631977,2.80120549886431,6.743246984328934
mix-mldsa87-fndsa512,20,ka,3,1000,0,0.0,108004.782,234711.067,354496.2557,3.282227408227165,4.648675625128801,13.58073385607891
mix-mldsa87-fndsa512,20,ka,5,1000,0,0.0,166070.5465,359438.64534999995,459558.41140999994,2.7672481430052978,7.147906669228489,17.6056597956378
mix-mldsa87-fndsa512,20,new,0,400,0,0.0,85935.0485,88392.71005,89025.04748000001,1.0359573775070368,1.0,1.0
mix-mldsa87-fndsa512,20,new,1,400,0,0.0,86318.0535,127797.90554999998,1107104.9211399998,12.825879132457498,1.004456912594865,12.435881276993616
mix-mldsa87-fndsa512,20,new,3,400,0,0.0,87718.4555,178166.34879999948,1114082.4257799997,12.700661672958887,1.0207529643740179,12.51425814774527
mix-mldsa87-fndsa512,20,new,5,400,0,0.0,105184.473,1098159.19095,1137169.58828,10.811192525345447,1.2239996932101573,12.773591483177492
mldsa87,1,ka,0,1000,0,0.0,20912.116,21567.727199999998,22235.887179999998,1.063301637194438,1.0,1.0
mldsa87,1,ka,1,1000,0,0.0,41420.635,62315.8814,106715.29835,2.5763800663606435,1.98070032702573,4.799237263894051
mldsa87,1,ka,3,1000,0,0.0,61401.737,112648.37325,307747.22708,5.012028032366576,2.936180011625796,13.840114612418176
mldsa87,1,ka,5,1000,0,0.0,62952.2165,175608.09074999948,350897.7555099999,5.57403337037386,3.0103226521888073,15.780695084008782
mldsa87,1,new,0,400,0,0.0,62098.925,62952.77329999999,63735.982379999994,1.0263620888767397,1.0,1.0
mldsa87,1,new,1,400,0,0.0,62114.5815,82653.64725,84326.05851999971,1.3575887735796741,1.0002521219167642,1.3230526206882594
mldsa87,1,new,3,400,0,0.0,62584.2695,150303.88264999999,1090629.60628,17.42657723727206,1.0078156666963236,17.11167798085487
mldsa87,1,new,5,400,0,0.0,62793.1705,1066481.1691999997,2156861.565,34.34866479627749,1.0111796701794757,33.84056359468323
mldsa87,10,ka,0,1000,0,0.0,22792.363,24232.422850000003,25069.13742,1.099891986627275,1.0,1.0
mldsa87,10,ka,1,1000,0,0.0,104521.8905,167945.1059,229360.44326,2.194377102851962,4.5858294947303175,9.149115879711829
mldsa87,10,ka,3,1000,0,0.0,208084.5245,408331.6340499998,519225.95214999944,2.495264620940129,9.129572238736282,20.71175978060435
