profile,n,rtt_ms,conc,rps,rps_sd,p50_us,p99_us,completed,failed
mix-mldsa87-fndsa512,1,1,32,10617.89,351.04745590874114,2775.197,7501.259,477805,0
mix-mldsa87-fndsa512,1,20,1,48.09,0.03464101615137783,20775.083,21729.686,2164,0
mix-mldsa87-fndsa512,1,20,2,93.64333333333333,0.15011106998931079,21256.964,23089.061,4214,0
mix-mldsa87-fndsa512,1,20,4,186.84333333333333,0.15011106998931387,21308.765,23795.954,8408,0
mix-mldsa87-fndsa512,1,20,8,384.5133333333333,0.5363145843004237,20787.515,21838.547,17303,0
mix-mldsa87-fndsa512,1,20,16,757.3333333333334,1.0650039123559074,20937.72,24347.444,34080,0
mix-mldsa87-fndsa512,1,20,32,1543.82,1.229756073373736,20718.813,21774.494,69472,0
mix-mldsa87-fndsa512,20,0,1,710.8000000000001,13.789521384007436,1352.659,2256.71,31986,0
mix-mldsa87-fndsa512,20,0,2,1371.5133333333333,7.86483523879138,1442.249,1709.247,61718,0
mix-mldsa87-fndsa512,20,0,4,2537.1766666666667,85.21965520543573,1556.351,1881.258,114173,0
mix-mldsa87-fndsa512,20,0,8,2595.0666666666666,141.14526642198572,3009.55,6516.986,116778,0
mix-mldsa87-fndsa512,20,0,16,2475.6433333333334,42.481144444721906,6051.704,17114.461,111404,0
mix-mldsa87-fndsa512,20,0,32,2493.7766666666666,20.909101686426702,7827.669,45000.546,112220,0
mix-mldsa87-fndsa512,20,1,1,395.68666666666667,1.325757645021631,2500.911,3385.946,17806,0
mix-mldsa87-fndsa512,20,1,2,758.1533333333333,3.4397141354090595,2616.128,3080.891,34117,0
mix-mldsa87-fndsa512,20,1,4,1460.3100000000002,12.912253869871096,2686.907,3327.613,65714,0
mix-mldsa87-fndsa512,20,1,8,2429.6033333333335,63.201687741177736,2693.019,5914.325,109332,0
mix-mldsa87-fndsa512,20,1,16,2498.3766666666666,41.95223037376356,6132.95,13867.846,112427,0
mix-mldsa87-fndsa512,20,1,32,2508.7566666666667,30.62917781027305,8890.871,41438.187,112894,0
mix-mldsa87-fndsa512,20,20,1,45.79999999999999,0.07000000000000028,21818.124,22665.803,2061,0
mix-mldsa87-fndsa512,20,20,2,88.13333333333333,0.535007788105318,22387.749,26743.069,3966,0
mix-mldsa87-fndsa512,20,20,4,172.17666666666665,0.30599564267050233,22855.959,27998.212,7748,0
mix-mldsa87-fndsa512,20,20,8,367.2,0.269999999999996,21738.027,23095.634,16524,0
mix-mldsa87-fndsa512,20,20,16,725.02,0.6421059102671185,21852.204,25251.039,32626,0
mix-mldsa87-fndsa512,20,20,32,1481.1566666666668,1.2060403531114552,21567.286,22991.656,66652,0
mldsa44,1,0,1,4668.580000000001,63.26515865782701,201.828,381.269,210086,0
mldsa44,1,0,2,8369.556666666665,120.85726512433376,225.429,377.964,376630,0
mldsa44,1,0,4,14022.156666666668,693.66005192265,279.758,467.042,630997,0
mldsa44,1,0,8,19995.710000000003,54.083539085379385,381.098,880.09,899807,0
mldsa44,1,0,16,16591.846666666668,231.33329555715383,921.567,2667.704,746633,0
mldsa44,1,0,32,18681.736666666668,83.7351379847997,2045.757,5693.016,840678,0
mldsa44,1,1,1,647.8000000000001,2.851122585929978,1517.291,2599.883,29151,0
mldsa44,1,1,2,1466.3333333333333,23.333971657935436,1355.965,1643.94,65985,0
mldsa44,1,1,4,2924.8199999999997,24.793714929393047,1351.005,1699.425,131617,0
mldsa44,1,1,8,6216.22,4.0870894289209865,1273.397,1492.028,279730,0
mldsa44,1,1,16,11847.133333333333,194.64247566585624,1314.701,1696.743,533121,0
mldsa44,1,1,32,19777.91,89.16516304028241,1546.544,2826.899,890006,0
mldsa44,1,20,1,46.580000000000005,0.15588457268119973,21255.327,24080.195,2096,0
mldsa44,1,20,2,96.93,0.0,20608.937,21335.953,4362,0
mldsa44,1,20,4,193.6,0.0,20638.726,21506.669,8712,0
mldsa44,1,20,8,377.9533333333334,0.30599564267049,21045.265,23959.841,17008,0
mldsa44,1,20,16,766.5799999999999,11.748374355628904,20625.806,22330.78,34496,0
mldsa44,1,20,32,1546.6433333333334,9.568622332046237,20601.147,23593.917,69599,0
mldsa44,20,0,1,640.0033333333334,13.705959774249092,1524.013,2247.707,28800,0
mldsa44,20,0,2,1207.3333333333333,29.77479191083183,1624.646,2010.92,54330,0
mldsa44,20,0,4,2121.7333333333336,48.20885119283957,1878.979,2520.565,95478,0
mldsa44,20,0,8,2486.5333333333333,61.04828689925167,3086.488,6464.327,111894,0
mldsa44,20,0,16,2124.6633333333334,1.814754345175601,6878.644,18917.393,95610,0
mldsa44,20,0,32,2342.42,119.64388952219846,8026.258,49832.706,105409,0
