profile,n,mode,rtt_ms,samples,total_p50_us,total_p95_us,total_p99_us,tsrv_us,rho,p50_ci_lo_us,p50_ci_hi_us,fail,fail_rate
fndsa512,5,new,100,200,210614.4295,214708.39355,215375.33591,2413.6675,0.011460124103225321,209858.3695,211090.994,0,0.0
fndsa512,5,new,200,200,416229.706,421268.94080000004,423977.89268,2136.896,0.005133934385740359,414741.1340625,416975.972,0,0.0
fndsa512,10,ka,0,1000,1692.1935,3605.57935,4262.3845,1412.8495,0.8349219518926175,1567.234,1809.986,0,0.0
fndsa512,10,ka,1,1000,3014.6445,4302.562599999999,4990.08939,1605.335,0.5325122083217441,2944.737,3082.665,0,0.0
fndsa512,10,ka,5,1000,7621.164,9240.51475,10230.636779999999,2053.9205,0.2695022046501033,7522.349475,7702.3925,0,0.0
fndsa512,10,ka,20,1000,23318.2865,25940.477199999998,27063.340600000003,2648.425,0.11357717043231286,23206.0947125,23481.085,0,0.0
fndsa512,10,ka,50,1000,53724.0205,56755.10855,58014.84721,2659.781,0.049508226957809306,53607.779,53841.8425625,0,0.0
fndsa512,10,ka,100,400,106371.4005,110036.50625,110954.42341,3194.3085,0.03002976819883085,106027.383875,106627.767,0,0.0
fndsa512,10,ka,200,400,211309.486,215930.59345,216279.20841,3042.6815,0.014399171365170042,210548.537,211749.473,0,0.0
fndsa512,10,new,0,400,2372.154,3991.417099999999,4832.8787999999995,1855.1745,0.7820632640208014,2253.227,2561.554,0,0.0
fndsa512,10,new,1,400,5439.006,6809.84315,7529.71123,1597.3735,0.29368849749384357,5328.161,5594.597,0,0.0
fndsa512,10,new,5,400,18858.136,21274.90295,22453.357050000002,2548.7685,0.13515484775377587,18619.8925,18989.107,0,0.0
fndsa512,10,new,20,400,66453.218,70350.86355,71719.68762000001,3213.563,0.04835827514026484,65998.1854,66960.649,0,0.0
fndsa512,10,new,50,400,161514.3715,165794.12325,168292.76866,3248.4085,0.020112194783855505,161175.052,161786.10292499998,0,0.0
fndsa512,10,new,100,200,317616.3855,324608.98715,326207.74828,3605.7195,0.0113524354051312,315773.8095,318898.746,0,0.0
fndsa512,10,new,200,200,618285.796,634514.0247000001,636707.35323,3278.715,0.00530291172983699,616526.23,620601.878,0,0.0
fndsa512,20,ka,0,1000,2665.156,4699.762199999998,5524.587409999998,2390.638,0.8969973990265485,2531.2706000000003,2806.469,0,0.0
fndsa512,20,ka,1,1000,4137.8535,6167.388349999999,7082.30348,2707.4815,0.6543202894930911,4020.9573125,4251.79,0,0.0
fndsa512,20,ka,5,1000,8470.6285,10385.297149999999,11328.95567,2896.141,0.3419039094914858,8326.627425,8543.612,0,0.0
fndsa512,20,ka,20,1000,24434.3585,27027.73995,28521.4299,3681.558,0.1506713589390939,24240.2945,24596.0761,0,0.0
fndsa512,20,ka,50,1000,55317.6005,58243.0405,59714.02382,4208.8515,0.0760852145060052,55141.35385,55451.124,0,0.0
fndsa512,20,ka,100,400,107672.456,111442.90559999998,113492.84412000001,4770.8595,0.04430900600985641,107232.728,107998.8005,0,0.0
fndsa512,20,ka,200,400,210312.7195,217956.1348,218969.38587,4513.7195,0.021461942533627883,209846.128,210672.48,0,0.0
fndsa512,20,new,0,400,2584.444,4623.123399999998,5484.2813099999985,2160.881,0.8361105909046588,2365.04,2760.045,0,0.0
fndsa512,20,new,1,400,7480.9155,8995.306649999999,9707.43165,2649.902,0.3542216189983699,7321.267,7644.789574999999,0,0.0
fndsa512,20,new,5,400,25431.7285,28432.6,30717.48488,3498.235,0.1375539613833169,25228.445,25626.146225,0,0.0
fndsa512,20,new,20,400,88885.0735,93796.38220000001,95831.75306999999,5030.2995,0.05659329853622723,88640.404,89238.559,0,0.0
fndsa512,20,new,50,400,215144.4995,221617.1832,224802.82749,4783.0735,0.022231911627375815,214625.10916249998,215831.887,0,0.0
fndsa512,20,new,100,200,421130.264,436194.84195,438454.85323,4317.917,0.010253162427671074,419241.7015,422706.4475,0,0.0
fndsa512,20,new,200,200,829533.5085,854932.4789499999,860733.21825,4808.8505,0.005797053947459677,827218.223,831663.4215,0,0.0
